"#"	"语言key"	"#策划备注"	"ChineseTraditional"
	"Game.Name"		"星際力量"
	"Game.Description"		"Game Framework 演示程式"
	"Game.Website"		"http://GameFramework.cn/"
	"Game.Summary"		"這是一個使用 Game Framework 遊戲框架製作的遊戲演示專案，目的是對此遊戲框架的使用方法做一些示範，供使用者參考"
	"Game.Introduction"		"Game Framework 是基於 Unity 5.3+ 引擎的遊戲框架，主要對遊戲開發過程中常用模組進行了封裝，很大程度地規範開發過程、加快開發速度並保證產品品質"
	"Menu.StartButton"		"開始"
	"Menu.SettingButton"		"設置"
	"Menu.AboutButton"		"關於"
	"Menu.QuitButton"		"退出"
	"Dialog.ConfirmButton"		"確定"
	"Dialog.CancelButton"		"取消"
	"Dialog.OtherButton"		"其他"
	"ForceUpdate.Title"		"強制更新"
	"ForceUpdate.Message"		"當前遊戲版本過舊，是否前往更新？"
	"ForceUpdate.UpdateButton"		"更新"
	"ForceUpdate.QuitButton"		"退出"
	"AskQuitGame.Title"		"確認退出"
	"AskQuitGame.Message"		"是否確認退出遊戲？"
	"Setting.Title"		"設置"
	"Setting.Music"		"音樂"
	"Setting.Sound"		"音效"
	"Setting.UISound"		"界面音效"
	"Setting.Language"		"語言"
	"Setting.LanguageTips"		"更改語言需要重啟遊戲"
